YYYY-MM-DD,HH:MM:SS,Process,Message,User
2024-09-22,15:04:10,INFO Cybersecurity logging started...
2024-09-22,15:04:11,INFO CPU Usage: 4.8% | Memory Usage: 51.2%
2024-09-22,15:04:11,INFO Process: PID=0, Name=System Idle Process, User=NT AUTHORITY\SYSTEM
2024-09-22,15:04:11,INFO Process: PID=4, Name=System, User=NT AUTHORITY\SYSTEM
2024-09-22,15:04:11,INFO Process: PID=88, Name=, User=None
2024-09-22,15:04:11,INFO Process: PID=156, Name=Registry, User=None
2024-09-22,15:04:11,INFO Process: PID=516, Name=conhost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=572, Name=smss.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=632, Name=winlogon.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=796, Name=services.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=824, Name=LsaIso.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=832, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=844, Name=csrss.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=880, Name=lsass.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1004, Name=wininit.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1012, Name=csrss.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1072, Name=sihost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=1128, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1144, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1156, Name=fontdrvhost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1160, Name=fontdrvhost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1204, Name=svchost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=1256, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1312, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1392, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1440, Name=dwm.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1448, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1508, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=1524, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1584, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1592, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1600, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=1636, Name=backgroundTaskHost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=1652, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1824, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1832, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1852, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=1900, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1940, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1944, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=1984, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2148, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2188, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2232, Name=NVDisplay.Container.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2248, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=2340, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2348, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2356, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2388, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2472, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2492, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2524, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2564, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2572, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2584, Name=MemCompression, User=None
2024-09-22,15:04:11,INFO Process: PID=2720, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2740, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2856, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2912, Name=svchost.exe, User=None
2024-09-22,15:04:11,INFO Process: PID=2924, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:11,INFO Process: PID=2936, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=2960, Name=turbo_vpn-service.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=2984, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3008, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3116, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3208, Name=NVDisplay.Container.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3252, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3540, Name=pet.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=3688, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=3756, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3780, Name=WmiPrvSE.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3792, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=3908, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=3968, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4036, Name=WsAppService3.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4112, Name=NvBroadcast.Container.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4276, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4284, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4332, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4392, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=4628, Name=spoolsv.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4668, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4716, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4844, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4916, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4924, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4944, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4960, Name=avp.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4968, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4976, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=4988, Name=redis-server.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5012, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5020, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5028, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5040, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5060, Name=RtkAudUService64.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5068, Name=IpOverUsbSvc.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5076, Name=HPPrintScanDoctorService.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5084, Name=lghub_updater.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5100, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5104, Name=nvcontainer.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5112, Name=GameManagerService.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5132, Name=RazerCentralService.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5152, Name=svchost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=5192, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5224, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=5244, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5252, Name=OfficeClickToRun.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5260, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=5276, Name=SearchIndexer.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5336, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5504, Name=dasHost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5680, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5752, Name=NvBroadcast.Container.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5804, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5812, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5908, Name=gamingservicesnet.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=5916, Name=gamingservices.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=6012, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=6216, Name=SDXHelper.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=6308, Name=dasHost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=6332, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=6692, Name=SearchProtocolHost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=6704, Name=AggregatorHost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=6712, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=6884, Name=rundll32.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=6908, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=7216, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=7288, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=7624, Name=Code.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=7708, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=7752, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=7772, Name=svchost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=7800, Name=CompPkgSrv.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=8028, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=8092, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=8136, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=8228, Name=dllhost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=8480, Name=Razer Synapse Service.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=8896, Name=avp.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=8920, Name=nvcontainer.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=9204, Name=Spotify.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=9280, Name=taskhostw.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=9428, Name=NVIDIA Broadcast UI.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=9460, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=9464, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=9572, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=9664, Name=ctfmon.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=9960, Name=conhost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=9980, Name=explorer.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=10000, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=10036, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=10112, Name=Razer Synapse Service Process.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=10204, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=10220, Name=svchost.exe, User=None
2024-09-22,15:04:12,INFO Process: PID=10384, Name=svchost.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=10532, Name=chrome.exe, User=PACMANEEE\Pranav
2024-09-22,15:04:12,INFO Process: PID=10660, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
